,keywords,relevance,paper
462,location prediction,0.3472,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
502,qam,0.3472,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1084,spatial variation,0.3467,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1421,intelligent control system,0.3455,Development of an advanced MES for the simulation and optimization of industry 4.0 process
223,various machine learning models,0.3437,Detection of Cluster Anomalies With ML Techniques
1041,default autoscalers,0.3435,Predictive Hybrid Autoscaling for Containerized Applications
183,lpwan,0.3433,Carbon Footprint vs Energy Optimization in IoT Network Deployments
704,neural tangent,0.3432,A duality connecting neural network and cosmological dynamics
441,energynet fellowship,0.3427,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
565,original data matrices,0.3421,Non-negative Matrix Factorization for Dimensionality Reduction
583,flight properties,0.3409,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1042,dynamic workload,0.3408,Predictive Hybrid Autoscaling for Containerized Applications
144,memory wall,0.3388, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1403,neighbour search,0.3383,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1085,versatile modelling approaches,0.3382,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1144,several ids classiﬁcation models,0.3377,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1105,categorical features,0.3372,Box-constrained optimization for minimax supervised learning
804,quantum,0.3371,superconducting nanowire-based architecture for neuromorphic computing
1564,deep learning,0.337,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
762,signal processing approaches,0.3369,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1145,digital object identifier,0.3367,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
965,smartphone,0.3355,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1186,endogenous security paradigm,0.334,Problems and solutions regarding generalized functional safety in cyberspace
925,industrial applications,0.3336,Management of tools in digital manufacturing - A case study
503,codebook design,0.3335,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
602,substation busbar voltage,0.3331,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
283,polysomnographic criteria,0.3313,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
566,dimensionality,0.331,Non-negative Matrix Factorization for Dimensionality Reduction
882,kerf characteristics,0.331,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1025,neuron outputs,0.3307,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1422,production lines,0.3305,Development of an advanced MES for the simulation and optimization of industry 4.0 process
485,logistic regression,0.3286,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
724,flat calabi,0.3283,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
805,relaxation oscillators,0.3282,superconducting nanowire-based architecture for neuromorphic computing
264,reinforcement learning,0.3278,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
486,nb15 dataset,0.3278,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
1385,worker cognition,0.3276,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
545,slower aircraft models,0.327,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1386,robot collaboration,0.3259,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
966,such optimization,0.3254,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1644,classification accuracy,0.3247,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
903,mechanical stiffness matrices,0.3247,Digital Twins for Micro Machining
1585,detector simulation,0.3241,Particle-based fast jet simulation at the LHC with variational autoencoders
145,lower resistive state,0.324, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1043,automatic service,0.3235,Predictive Hybrid Autoscaling for Containerized Applications
1303,imposter,0.3234,Implicit privacy preservation: a framework based on data generation
1304,data generation,0.3233,Implicit privacy preservation: a framework based on data generation
162,applied scientific computing,0.3233,A biology-informed similarity metric for simulated patches of human cell membrane
904,cutting processes,0.3228,Digital Twins for Micro Machining
1524,earlier metaverse approaches,0.3223,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
725,geodesics,0.3223,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1645,domain adaptation,0.3222,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
1362,molybdenum alloy,0.3221,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
584,central force optimization,0.322,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
284,machine learning techniques,0.3219,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
424,quantum field theories,0.3217,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1044,burst identiﬁcation,0.3213,Predictive Hybrid Autoscaling for Containerized Applications
425,convolutional neural networks,0.3211,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
726,physical yukawa couplings,0.3211,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1404,cad,0.3209,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1646,model robustness,0.3208,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
3,4communication systems,0.3207,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
603,current oltc voltage regulation scheme,0.3197,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
763,learning,0.3196,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1283,cyber security,0.3189,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
101,inner hesitancy,0.3188," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
224,kad system,0.3177,Detection of Cluster Anomalies With ML Techniques
1243,industrial control,0.3174,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
806,circuit topologies,0.3168,superconducting nanowire-based architecture for neuromorphic computing
102,entropy,0.3167," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1063,quadratic loss function,0.3164,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
204,alzheimer disease,0.3164,Neural network training with highly incomplete medical datasets
1504,ubiquitous machine learning,0.3161,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
